Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto,Date
-0.37280926740645176,-1.2678366259287788,-0.24234940751393275,2015-03-13
0.17874833897838338,-1.0609577907284862,0.805943958520619,2015-03-14
0.33090216142937245,-1.3860531031860888,0.8175867403812489,2015-03-15
0.44501752826761415,-1.0018495520998312,0.8227138315975214,2015-03-16
0.349921389235746,-0.9944610222712493,0.8416230085486766,2015-03-17
-0.37280926740645176,-0.8688560151853573,0.6771166364369569,2015-03-18
-0.37280926740645176,-0.6693657098136466,0.5780779008271577,2015-03-19
-0.37280926740645176,-0.8245248362138662,0.6169510260290246,2015-03-20
-0.37280926740645176,-0.9353527836425942,0.6303859010485725,2015-03-21
-0.2967323561809573,-1.142231618842887,0.6430835509578731,2015-03-22
-0.37280926740645176,-0.7580280677566291,0.6512205913046254,2015-03-23
-0.37280926740645176,-0.31471627804171654,0.6381406918968596,2015-03-24
3.1742767184822296,-0.5954804115278279,0.5829630911757169,2015-03-25
0.19776756678475702,-0.13739156215575157,0.38124474802164193,2015-03-26
0.6542290341377242,-0.3368818675274622,0.3182749956904,2015-03-27
-0.37280926740645176,-0.7063083589565561,0.3188962467041658,2015-03-28
-0.37280926740645176,-0.6915312992993924,0.3102407965284493,2015-03-29
-0.37280926740645176,-0.5437607027277548,0.4473216792196862,2015-03-30
-0.37280926740645176,-0.13739156215575157,0.4111159020599967,2015-03-31
-0.37280926740645176,-0.32949333769888023,0.35369514197459695,2015-04-01
-0.37280926740645176,-0.48465246409909973,0.3185062323092512,2015-04-02
-0.37280926740645176,-0.713696888785138,0.31695976641931556,2015-04-03
0.7968732426855263,-0.9796839626140855,0.3183657650828122,2015-04-04
0.502075211686735,-1.2456710364430332,0.3069231540133602,2015-04-05
-0.37280926740645176,-1.3269448645574335,0.3161347492925439,2015-04-06
-0.37280926740645176,-1.5338236997577264,0.30923358834058107,2015-04-07
-0.37280926740645176,-1.2530595662716149,0.3021515127916096,2015-04-08
-0.37280926740645176,-0.7284739484423017,-0.05715859963757579,2015-04-09
-0.37280926740645176,-0.5142065834134272,0.41456307603096487,2015-04-10
-0.37280926740645176,-0.5659262922135005,0.4055542762527308,2015-04-11
-0.37280926740645176,-0.38121304649895354,0.4110097339541286,2015-04-12
-0.37280926740645176,-0.0782833235270965,0.41080530308109675,2015-04-13
-0.33477081179370455,0.04732168355879536,0.35051393131170616,2015-04-14
-0.37280926740645176,0.14337257133035983,0.30930757020164534,2015-04-15
-0.37280926740645176,0.09165286253028673,0.3091806416089667,2015-04-16
-0.35379003960007815,0.010379034415885975,0.31496771781401717,2015-04-17
-0.37280926740645176,-0.21866539027015205,0.31768391791572836,2015-04-18
-0.2396746727618364,-0.15216862181291527,0.32442387924289445,2015-04-19
-0.35379003960007815,-0.36643598684178963,0.32524595020316877,2015-04-20
-0.37280926740645176,-0.26299656924164344,0.32055748200809603,2015-04-21
-0.37280926740645176,0.04732168355879536,0.32542901824814924,2015-04-22
-0.37280926740645176,-0.026563614727023413,0.32916370561158914,2015-04-23
-0.35379003960007815,0.09165286253028673,0.3247462410412158,2015-04-24
-0.3157515839873309,-0.01917508489844143,0.32716980316847305,2015-04-25
-0.37280926740645176,0.09904139235886845,0.3282222087962018,2015-04-26
0.9585366790397021,-0.3442703973560442,0.32878583791160126,2015-04-27
0.4069790726548669,-0.6028689413564099,0.3245923444138843,2015-04-28
0.4069790726548669,-0.3221048078702985,0.33288333132299414,2015-04-29
1.4149981463926693,-0.4255442254704447,0.3347396034733008,2015-04-30
-0.37280926740645176,-0.27777362889880713,0.33688967146646587,2015-05-01
-0.37280926740645176,0.03254462390163166,0.3367583236240395,2015-05-02
-0.37280926740645176,0.20986933978759661,0.3383827256048615,2015-05-03
-0.37280926740645176,0.7861746664169833,0.34228227969652353,2015-05-04
-0.37280926740645176,1.111269978874586,0.3420343928676413,2015-05-05
-0.35379003960007815,1.2664291052748053,0.3397395382683433,2015-05-06
-0.37280926740645176,1.0078305612744396,0.34090287455499013,2015-05-07
-0.37280926740645176,0.6827352488168367,0.34346970339104554,2015-05-08
0.4355079143644274,0.48324494344512625,0.3438571742206051,2015-05-09
-0.37280926740645176,0.49063347327370826,0.34673623428670464,2015-05-10
-0.37280926740645176,0.49063347327370826,0.34249329263009076,2015-05-11
-0.37280926740645176,0.43152523464505294,0.34603709087519896,2015-05-12
-0.37280926740645176,0.6014614207024365,0.3443461130217679,2015-05-13
-0.37280926740645176,0.46846788378796234,0.3475759260690643,2015-05-14
-0.37280926740645176,0.4463022943022169,0.3437654342161349,2015-05-15
0.502075211686735,0.1803152204732692,0.3387184294177808,2015-05-16
-0.37280926740645176,0.8748370243599656,0.3372022834510774,2015-05-17
-0.37280926740645176,0.9561108524743663,0.34009193286350015,2015-05-18
-0.37280926740645176,0.8305058453884742,0.3571868142950707,2015-05-19
-0.37280926740645176,0.5940728908738544,0.33308928209336086,2015-05-20
0.1026714277528889,-0.3368818675274622,0.33535579232386953,2015-05-21
-0.10654007811722102,-0.38121304649895354,0.33145367594121555,2015-05-22
-0.20163621714908914,-0.5068180535848454,0.32588399186922584,2015-05-23
-0.1826169893427155,-0.4403212851276084,0.32337709754740057,2015-05-24
-0.37280926740645176,-0.20388833061298836,0.31932205514947304,2015-05-25
1.224805868328933,-0.0635062638699328,0.3145105033586759,2015-05-26
0.46403675607398787,-0.15955715164149725,0.3121076486622634,2015-05-27
-0.35379003960007815,-0.17433421129866095,0.31661491513393264,2015-05-28
-0.37280926740645176,0.09904139235886845,0.31053061317396913,2015-05-29
-0.37280926740645176,0.4093596451593075,0.31064342888009405,2015-05-30
0.8919693817173945,0.4980220031022897,0.3131449583076284,2015-05-31
-0.16359776153634187,0.6162384803595998,0.3104259212722877,2015-06-01
-0.049482394698100125,0.7049008383025825,0.31043108018459864,2015-06-02
-0.37280926740645176,0.926556733160039,0.3110524061009034,2015-06-03
-0.37280926740645176,1.096492919217422,0.3114099471246156,2015-06-04
-0.37280926740645176,1.2073208666461501,0.3103173594061372,2015-06-05
-0.37280926740645176,1.1703782175032407,0.31271794205889425,2015-06-06
-0.37280926740645176,1.0299961507601851,0.3161901834126113,2015-06-07
-0.12555930592359463,0.9117796735028749,0.3138771587059457,2015-06-08
