,Rainfall_Monteporzio,Rainfall_Velletri,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9
2012-06-01,-0.29384926976814935,-0.315072630693091,-0.2782300344263392,0.05436840597412962,0.7307117485190804,-0.06534861823096097,-0.8876639201251999,0.3227845420193233,-0.29891933459997444,0.27420777181045275,1.049716792872378,0.9156516423354351,1.6958496892509376,-0.7102294785131977,-1.2524595708823654,-0.782755760456264,-1.0106776877229886,-1.1448619521582357,-1.5360334334540766,-0.8673061537089446,0.060134634491150106
2012-06-02,-0.29384926976814935,-0.315072630693091,-0.10892799527289031,-0.519866615545673,-0.15959104972307298,-0.6109445155530846,-1.0195860744958325,-0.39211768611640274,-0.5160858409312051,-0.8651226847270138,1.2375681801965397,1.0220835501363073,1.7090754189886403,-0.7076716854199893,-1.2363639676793838,-0.782755760456264,-1.0106776877229886,-1.1448619521582357,-1.5360334334540766,-0.8673061537089446,0.06262216221584935
2012-06-03,-0.29384926976814935,-0.315072630693091,-0.09192548833802179,-0.9054136670749935,-0.24595930229610985,-0.9868867990942957,-1.150860969466645,-0.5009487583497022,-0.5508496257284854,-0.7618102534641751,1.3333001371982762,1.1608251442338733,1.7233185125523205,-0.7051138923267845,-1.2470943698147061,-0.7785262281551605,-1.0078656866031348,-1.1448619521582357,-1.5360334334540766,-0.8632353944295309,0.06759721766525136
2012-06-04,-0.1342314494800682,1.2948270845627388,-0.2782300344263392,0.4145142856919876,0.07217553339824374,0.32161748670041196,-0.6641456534406041,0.3087312223899078,0.6128680703604799,0.022523669507585633,0.7444582884706149,0.6951855476050562,1.7233185125523205,-0.6999983061403712,-1.2470943698147061,-0.774296695854063,-1.0078656866031348,-1.1354700208358082,-1.5302202420298812,-0.859164635150123,0.06759721766525136
2012-06-05,-0.29384926976814935,-0.315072630693091,0.07458610615568423,0.770491845154054,0.21686754092642002,-0.026265674420223213,-0.758099215128223,0.3575215645421009,0.39789215868770766,0.7564587638906388,0.8817343022844257,0.9992767127504065,1.7233185125523205,-0.6923249268607494,-1.2470943698147061,-0.7700671635529595,-1.0078656866031348,-1.130774055174591,-1.5244070506056777,-0.8550938758707094,0.06759721766525136
2012-06-06,-0.29384926976814935,-0.315072630693091,-0.30202224678835454,-0.24758651912587964,0.26580067343394853,-0.2865077902592577,-0.8869394646501719,0.11714600801970579,-0.6298777091135362,0.08961301925229297,0.9955288926827159,0.9650664566715541,1.7223011487263435,-0.6923249268607494,-1.2470943698147061,-0.7700671635529595,-1.0022416843634314,-1.1213821238521635,-1.518593859181474,-0.8469523573118878,0.07008474538995413
2012-06-07,-0.29384926976814935,-0.315072630693091,0.09744063873325176,0.24078411474214123,0.7789038208087945,0.1313982846765256,-0.8992492695660126,0.4449150419074205,-1.3859662176428826,0.2763780562951335,1.2592433402724048,1.210239958569993,1.7223011487263435,-0.6923249268607494,-1.2470943698147061,-0.7700671635529595,-1.0022416843634314,-1.1213821238521635,-1.518593859181474,-0.8428815980324741,0.07505980083935614
2012-06-08,-0.29384926976814935,-0.315072630693091,-0.30202224678835454,0.389007777267562,0.0922304755428343,-0.2214639135976715,-0.8901638853300089,0.08820815453244951,-0.6152221546322171,0.11925634939623188,1.8986605625104171,1.7385983580100381,1.7223011487263435,-0.689767133767541,-1.2444117692808745,-0.774296695854063,-0.9994296832435776,-1.1213821238521635,-1.5127806677572788,-0.8428815980324741,0.07505980083935614
2012-06-09,-0.24064332967212232,-0.315072630693091,-0.2782300344263392,0.015047753164087043,0.1324098342274354,-0.6003336711575995,-0.8670169390869079,0.2982153958721608,-1.1936105768998482,-0.21794729629109583,1.4416759375776007,1.4668168791613818,1.7792735229810648,-0.689767133767541,-1.2363639676793838,-0.774296695854063,-0.9994296832435776,-1.1166861581909466,-1.5069674763330752,-0.8428815980324741,0.09247249491226846
2012-06-10,-0.29384926976814935,-0.315072630693091,-0.26042541586862966,-0.22895698671913117,0.6650584448471248,-0.29082073548592224,-0.8914465278103858,0.13767506640545416,0.07687479797747764,0.25653545529233424,1.2285368634982632,1.1950354003127253,1.7843603421109504,-0.6872093406743326,-1.2309987666117246,-0.774296695854063,-0.9994296832435776,-1.1119901925297362,-1.5011542849088715,-0.8347400794736526,0.09744755036167047
