,Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4,Depth_to_Groundwater_Podere_Casetta
2008-02-21,-0.3662350951791419,-0.3568198297788294,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,0.23375964741040584,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.6227197229405221,-0.8476868366512015,0.11424974230921049,-0.12867046521852604,0.08469800176091703,1.340583315737836
2008-02-22,-0.3662350951791419,-0.3309028113660303,-0.3323737716652671,-0.35689359608380444,-0.13504844523397888,-0.21709465645118803,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.5348908273692795,-0.9754902817930442,0.7318454387573503,0.7362491204876083,-0.4841832244384217,1.340583315737836
2008-02-23,-0.3381305370468434,-0.3568198297788294,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,-0.21709465645118803,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.6362318607207134,-1.0038910473801204,0.5988840047503375,0.1878137149322451,-0.12281316521596318,1.340583315737836
2008-02-24,-0.3381305370468434,-0.30498579295323114,-0.31075026587798277,-0.35689359608380444,-0.15623637826577913,-0.19300320509980515,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.46733013846832355,-0.6346810947481304,0.11424974230921049,-0.08580535255652956,0.3176671431060093,1.340583315737836
2008-02-25,-0.3662350951791419,-0.3309028113660303,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,-0.21709465645118803,-0.12482920028289536,-0.2987606464508089,-0.5677871808301554,-0.507866551808897,-0.954189707602737,0.11424974230921049,-0.22007599655165636,-0.12281316521596318,1.340583315737836
2008-02-26,-0.3662350951791419,-0.3309028113660303,-0.2675032543034141,-0.29755176792235954,-0.11386051220217863,-0.12072885104565652,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.5416468962593749,-0.7908853054770492,0.11424974230921049,-0.22007599655165636,0.34801396732387624,1.340583315737836
2008-02-27,0.11154239306993129,0.2651886121283497,-0.20263273694156106,-0.08985536935730229,-0.15623637826577913,-0.16202848193374142,-0.26715695199521144,-0.2987606464508089,-0.5677871808301554,-0.46733013846832355,-0.3648738216709069,0.9273684513802393,0.2302206409697824,0.5125991656680179,1.340583315737836
2008-02-28,-0.3662350951791419,-0.07173262723803894,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,-0.21365302054384763,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.23086772731497793,-0.10216673999045256,0.7318454387573503,0.2302206409697824,0.6803860081485946,1.340583315737836
2008-02-29,-0.3662350951791419,-0.3568198297788294,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,-0.21709465645118803,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.4605740695782279,-0.20866961094198813,0.7091112970288355,0.03791604957032998,0.5125991656680179,1.340583315737836
2008-03-01,-0.3662350951791419,-0.3568198297788294,-0.3323737716652671,-0.35689359608380444,-0.15623637826577913,-0.21709465645118803,-0.3240880526801379,-0.2987606464508089,-0.5677871808301554,-0.37950124289708087,-0.5068776496062877,0.555255110526211,0.10681356340463855,0.3817929058602861,1.340583315737836
