,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_PAG,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione,Depth_to_Groundwater_SAL,Depth_to_Groundwater_CoS,Depth_to_Groundwater_LT2
2007-04-06,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,1.5063080567690834,-0.37527167272095685,-0.3619136323688211,-0.5142424789219423,-0.9238590816101595,-0.47992585682520783,-0.19033927666989384,0.2879764759845353,-0.30674354669181914,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,0.1892423705557446,1.349710826610663,1.7703280269461068,-1.2193187191402386,1.6837408329239254
2007-04-07,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.7129570352184806,-0.863600154830578,-0.4441286170424514,-0.17507133581949014,0.17000694710473402,-0.36326270289943313,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,0.2778137719048587,1.5413456329329314,1.8049758468093062,-1.2416277188439773,1.6948686935964021
2007-04-08,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.23454934309568676,-0.3619136323688211,-0.6976713001187469,-0.5472407892377752,-0.408331377259695,-0.3888225077251428,0.18124214033138172,-0.22196481238039834,0.7160803758730707,-0.08192869368751117,0.5827230095637969,-0.9485694958352541,-0.8960974682080678,0.1892423705557446,1.3816499609977078,1.7356802070829058,-1.2416277188439773,1.6948686935964021
2007-04-09,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3396410094704619,-0.35683803962028326,-0.3660320709057729,-0.3188882137202363,-0.20276776398078863,-0.37527167272095685,-0.3377517421627615,-0.7435285054179481,-0.7430823012714148,-0.28662076199832315,-0.19033927666989384,0.18124214033138172,-0.1725105506987362,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,0.14495666988118747,1.3337412594171407,1.6490606574249058,-1.2862457182514562,1.7059965542688769
2007-04-10,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.6212426246200785,-1.0443769351693226,-0.37253413747693853,-0.022391927315452545,0.2992116692111832,-0.045342449231604805,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,0.1006709692066303,1.3177716922236182,1.6837084772881052,-1.3011183847206151,1.7171244149413516
2007-04-11,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.29543740004577257,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.5600996842211435,-0.9841180083897411,-0.3653746895203874,0.37457453479504516,0.4396515845442801,-0.0029530820758945117,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,-0.03218613281704117,1.3177716922236182,1.8222997567409058,-1.2713730517822963,1.7059965542688769
2007-04-12,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,0.15832986546634212,-0.6828233744918333,0.04987329195958729,0.6112276179763035,0.6531202558505873,0.3290969606438375,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,-0.03218613281704117,1.3337412594171407,1.8915953964673062,-1.2490640520785576,1.7059965542688769
2007-04-13,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.12658564121586818,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.5142424789219423,-0.9389238133050546,0.43648348161335665,0.6646654109527166,0.8890593136101902,0.4562650621109686,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,-0.07647183349159808,1.3177716922236182,1.943567126262107,-1.2416277188439773,1.6837408329239254
2007-04-14,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.34148787972665556,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.36138512792460487,-0.8786648865254737,0.6512669203098953,0.702835263078726,0.8385009440902754,0.6116927416819071,0.9830239878125708,0.47009294489655984,1.0275218939234398,-0.9485694958352541,-0.8960974682080678,-0.07647183349159808,1.3177716922236182,1.9782149461253065,-1.2267550523748183,1.672612972251451
2007-04-15,-0.3426535857980049,-0.35215560937463686,-0.36340471408590136,-0.3622656499618949,-0.35683803962028326,-0.3660320709057729,-0.3663177794638252,-0.3109371197244514,-0.37527167272095685,-0.3619136323688211,-0.39195659812407235,-0.9238590816101595,0.2574972826995745,0.6570314405275146,0.6980610287571785,0.4845246402147755,0.7160803758730707,-0.08192869368751117,0.5827230095637969,-0.9485694958352541,-0.8960974682080678,0.05638526853207314,1.3337412594171407,1.9955388560569076,-1.1970097194364993,1.672612972251451
