,Rainfall_Bastia_Umbra,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25
2006-03-14,-0.29266319010342734,-1.2446728595711531,-1.1503236055085326,-0.05286385940414374,0.035856431795127874,-1.1444168449960856,-1.0893446838467595
2006-03-15,-0.29266319010342734,-0.0573499686352371,-0.05220850585928088,0.05357628239921343,0.40021079612577715,-1.174620611675897,-1.101775080308643
2006-03-16,-0.29266319010342734,0.8498180828663615,0.5849693914680626,0.07364890429638622,-0.14632075037019676,-1.213885508359651,-1.1328510714633524
2006-03-17,-0.21270713659764334,-0.39086763462847196,-0.4318038489479112,-0.2611403306491215,0.21803361396045248,-1.174620611675897,-1.1328510714633524
2006-03-18,-0.29266319010342734,0.5830039500717736,0.38161474338486784,0.2572489412824538,0.035856431795127874,-1.1081723249803124,-1.1328510714633524
2006-03-19,0.06713905067260044,-0.40420834126820127,-0.26912013048135525,-0.2732943952841072,0.40021079612577715,-1.1836817416798397,-1.1608194635025908
2006-03-20,0.626831425213088,0.5563225367923149,0.4493996260792661,0.2228124248166619,-0.14632075037019676,-1.1383760916601238,-1.1483890670407073
2006-03-21,-0.2726741767269813,-0.35084551470928366,-0.40468989587015175,-0.1559892563070504,-0.14632075037019676,-1.1957632483517648,-1.1794650581954158
2006-03-22,0.22705115768416834,-0.49759328774630696,-0.5402596612589483,0.6273954551661007,0.5823879782911018,-1.1957632483517648,-1.2012182520037122
2006-03-23,-0.29266319010342734,0.5163004168731267,0.5714124149291833,0.29757833757126917,-0.14632075037019676,-1.168579858339935,-1.1794650581954158
2006-03-24,-0.29266319010342734,-0.7110445939819774,-0.6622724501088652,-0.03647428739636023,0.035856431795127874,-1.1927428716837833,-1.1794650581954158
2006-03-25,-0.29266319010342734,1.5301941214925607,-1.8146154559136356,-1.1262887496667204,-4.336395940172659,-1.213885508359651,-1.2012182520037122
2006-03-26,-0.29266319010342734,0.276167697357998,0.340943813768229,-0.12081612986338097,-0.32849793253552056,-1.2440892750394623,-1.2105410493501254
2006-03-27,-0.29266319010342734,0.342871230556645,0.4222856730015069,0.2694030059174395,-0.6928522968661698,-1.1474372216640674,-1.198110652888242
2006-03-28,-0.29266319010342734,-0.6176596475038716,-0.41824687240903136,-0.10000689798832987,0.035856431795127874,-1.2078447550236888,-1.2229714458120087
2006-03-29,-0.23269614997408936,-0.49759328774630696,-0.40468989587015175,-0.15120129145084404,0.40021079612577715,-1.1323353383241617,-1.2043258511191837
2006-03-30,-0.29266319010342734,-0.40420834126820127,-0.4453608254867908,0.35208747593423384,0.40021079612577715,-1.1383760916601238,-1.1950030537727705
2006-03-31,2.026062361564307,0.5429818301525858,0.4900705556959052,-0.39078368675563296,0.40021079612577715,-1.077968558300502,-1.1856802564263575
2006-04-01,-0.29266319010342734,0.3828933504758327,0.3680577668459885,0.2983149475491467,-0.14632075037019676,-1.0568259216246343,-1.1763574590799455
2006-04-02,0.886688599106886,-0.47091187446684823,-0.40468989587015175,-0.6718003933160536,0.9467423426217502,-1.1413964683281053,-1.198110652888242
2006-04-03,0.9066776124833319,-0.07069067527496645,-0.10643641201479953,-0.6688539534045418,0.21803361396045248,-1.0568259216246343,-1.1825726573108872
2006-04-04,-0.15274009646830541,0.31618981727718576,0.19181707184055294,-0.38875800931646853,0.7645651604564255,-1.0930704416404078,-1.1794650581954158
2006-04-05,1.3864139335180357,0.15610133760043315,0.002019400296237771,-1.0566791067572583,0.9467423426217502,-1.1413964683281053,-1.2105410493501254
2006-04-06,-0.29266319010342734,0.19612345751962143,0.25960195453495116,-0.25193270592564754,0.035856431795127874,-1.1595187283359913,-1.2291866440429504
2006-04-07,-0.29266319010342734,0.22280487079908012,0.1375891656850343,0.06720356698995421,-0.6928522968661698,-1.1595187283359913,-1.2291866440429504
2006-04-08,-0.29266319010342734,-0.9511773134971064,-0.7571712858810228,-0.19097823025625085,-0.14632075037019676,-1.1323353383241617,-1.22607904492748
2006-04-09,-0.29266319010342734,-0.6710224740627891,-0.6622724501088652,-0.9229843957724188,0.21803361396045248,-1.1957632483517648,-1.2229714458120087
2006-04-10,-0.29266319010342734,0.5830039500717736,0.5307414853125442,-0.24769719855284972,0.035856431795127874,-1.3014764317311023,-1.275800630775015
2006-04-11,-0.29266319010342734,0.022694271203139216,0.015576376835117374,0.02448018827303568,0.5823879782911018,-1.3286598217429322,-1.313091820160665
2006-04-12,0.9466556392362239,-0.044009261995507754,0.029133353373996976,-0.06685944898382407,1.3110967069523993,-1.3256394450749516,-1.3193070183916067
2006-04-13,1.6662601207882792,-0.7910888338203538,-0.7842852389587821,-0.28029219007394696,0.5823879782911018,-1.3135579384030265,-1.3161994192761364
2006-04-14,-0.29266319010342734,-0.1774163283928017,-0.05220850585928088,-0.7607460481448101,0.5823879782911018,-1.2682522883833105,-1.29444622546784
2006-04-15,-0.29266319010342734,-0.8311109537395418,-0.6758294266477448,-0.2099459371866073,1.8576282534483726,-1.2531504050434048,-1.29444622546784
2006-04-16,7.74292018722786,0.4629375903142093,0.5171845087736644,-1.2542747333230062,1.493273889117724,-1.4404137584582328,-1.356598207777258
2006-04-17,-0.29266319010342734,0.19612345751962143,0.24604497799607133,-0.32872429611941917,1.3110967069523993,-1.3528228350867815,-1.3410602121999031
2006-04-18,-0.29266319010342734,-0.1640756217530721,-0.07932245893704008,0.07364890429638622,0.40021079612577715,-1.2531504050434048,-1.3193070183916067
2006-04-19,-0.29266319010342734,0.6763888965498798,0.5985263680069425,-0.4730998517834885,0.40021079612577715,-1.168579858339935,-1.2789082298904852
2006-04-20,-0.29266319010342734,-0.43088975454766,-0.41824687240903136,0.5351350554368937,0.21803361396045248,-1.1504575983320477,-1.241617040504834
2006-04-21,-0.29266319010342734,-0.9111551935779182,-0.86562709819206,0.24472657165852935,-0.14632075037019676,-1.1534779750000295,-1.2354018422738922
2006-04-22,-0.29266319010342734,-0.5376154076654952,-0.5402596612589483,1.0170621334635126,0.5823879782911018,-1.1595187283359913,-1.241617040504834
2006-04-23,-0.29266319010342734,-1.0579029666149415,-0.8927410512698193,0.6027190209071913,0.40021079612577715,-1.2622115350473484,-1.2664778334286018
2006-04-24,-0.29266319010342734,-0.8311109537395418,-0.6893864031866244,0.6721445113221837,0.5823879782911018,-1.1836817416798397,-1.2478322387357756
2006-04-25,-0.29266319010342734,0.5563225367923149,0.5714124149291833,-0.5670176239629212,-0.14632075037019676,-1.32261906840697,-1.2851234281214268
2006-04-26,-0.29266319010342734,-0.8978144869381889,-0.8520701216531803,-0.25727312826526244,0.21803361396045248,-1.2501300283754244,-1.275800630775015
2006-04-27,-0.29266319010342734,0.7964552563074442,0.7883240395512574,0.5651519120354179,-0.14632075037019676,-1.2229466383635945,-1.2726930316595435
2006-04-28,-0.29266319010342734,0.5429818301525858,0.5171845087736644,0.01508841105509272,0.035856431795127874,-1.2350281450355187,-1.2820158290059565
2006-04-29,-0.29266319010342734,0.209464164159351,0.21893102491831215,0.4620265151325113,-0.6928522968661698,-1.2229466383635945,-1.2820158290059565
2006-04-30,-0.29266319010342734,-1.3113763927698001,-1.0283108166586157,-0.6209743048424782,0.21803361396045248,-1.271272665051292,-1.2975538245833103
2006-05-01,-0.29266319010342734,-0.5242747010257659,-0.37757594279239254,-0.3320390410198697,0.5823879782911018,-1.2682522883833105,-1.3006614236987817
2006-05-02,-0.25268516335053537,0.6230260699909619,1.1001344999454894,-0.11510740253482651,0.5823879782911018,-1.2108651316916694,-1.2664778334286018
2006-05-03,-0.29266319010342734,-0.017327848716048824,0.12403218914615467,-0.1329701944983659,0.21803361396045248,-1.1836817416798397,-1.26026263519766
