,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
2006-03-17,2.5,22.457500000000003,22.005,12.925,12.0,115236.0,2.3999999999999995
2006-03-22,19.1,22.32,21.854999999999997,18.175,17.05,107473.82400000001,2.4499999999999997
2006-03-27,5.2,22.439999999999998,21.8075,9.525,9.899999999999999,117586.08,2.4
2006-04-01,0.0,22.67,21.875,13.725,14.075,118318.752,2.4
2006-04-06,9.6,22.4225,21.7375,13.25,12.5,110848.608,2.65
2006-04-11,0.0,21.935000000000002,21.4675,14.625000000000002,14.049999999999999,112084.992,2.6750000000000003
2006-04-16,0.2,21.9525,21.424999999999997,16.225,7.85,107824.60800000001,2.075
2006-04-21,5.4,22.33,21.67,18.15,16.475,109584.576,2.35
2006-04-26,13.3,22.1875,21.5725,12.575,12.024999999999999,114344.352,2.475
2006-05-01,0.2,22.267500000000002,21.604999999999997,10.275,9.425,112827.16800000002,2.575
2006-05-06,0.0,22.245,21.635,15.450000000000001,8.25,115466.68800000001,1.725
2006-05-11,1.2,22.192500000000003,21.599999999999998,11.575,10.55,120318.912,2.6999999999999997
2006-05-16,1.9,22.200000000000003,21.6075,12.95,5.9750000000000005,108607.39199999999,1.925
2006-05-21,4.2,22.1325,21.585,16.15,15.125,107047.008,2.65
2006-05-26,0.2,22.2175,21.645000000000003,16.725,16.075,115268.83200000001,2.3499999999999996
2006-05-31,0.0,22.08,21.5675,12.925,12.05,118353.312,2.45
2006-06-05,0.2,22.177500000000002,21.6025,13.225000000000001,12.0,120501.216,2.4749999999999996
2006-06-10,12.5,22.5075,21.8675,15.1,14.024999999999999,111989.95199999999,2.375
2006-06-15,5.2,22.735,22.11,17.75,11.375,108132.192,1.95
2006-06-20,2.1,23.020000000000003,22.2925,17.775,17.625,116816.256,2.375
2006-06-25,0.2,23.4125,22.657500000000002,17.025,16.575,121940.64,2.425
2006-06-30,2.5,23.6275,22.869999999999997,12.05,11.7,115779.456,2.725
2006-07-05,4.1,23.6975,23.0,14.25,14.175,112746.816,2.35
2006-07-10,5.2,23.82,23.077499999999997,17.25,16.025,116141.47200000001,2.4749999999999996
2006-07-15,0.0,24.1825,23.455,11.775,11.399999999999999,115690.464,2.4499999999999997
2006-07-20,6.1000000000000005,24.3675,23.68,17.975,17.525,108707.61600000001,2.5999999999999996
2006-07-25,15.0,24.2225,23.564999999999998,14.925,14.25,113330.016,2.5
2006-07-30,3.2,24.3675,23.740000000000002,16.275,16.225,109844.64,2.8999999999999995
2006-08-04,28.8,23.9825,23.495,17.65,16.95,105770.88,2.625
2006-08-09,20.799999999999997,24.2125,23.6275,15.825,15.5,106230.52799999999,2.625
2006-08-14,0.0,24.044999999999998,23.552500000000002,13.175,12.35,110475.36000000002,2.4
2006-08-19,12.0,24.2475,23.685000000000002,18.125,18.2,110349.21600000001,2.425
2006-08-24,14.6,24.277500000000003,23.7475,12.25,12.675,104988.96000000002,2.8
2006-08-29,7.4,24.4225,23.83,15.9,15.799999999999999,101194.272,2.625
2006-09-03,44.8,24.545,24.004999999999995,16.425,16.075,104854.176,2.65
2006-09-08,0.0,24.822499999999998,24.2275,19.2,20.15,115066.656,2.3249999999999997
2006-09-13,8.4,24.752499999999998,24.18,14.299999999999999,13.925,74774.016,2.75
2006-09-18,13.3,24.694999999999997,24.115,13.25,13.075000000000001,103445.856,2.725
2006-09-23,8.2,24.74,24.1575,14.775,13.374999999999998,111367.87200000002,2.5250000000000004
2006-09-28,0.2,24.810000000000002,24.2375,16.925,16.675,117305.28,2.6
2006-10-03,0.0,25.052500000000002,24.41,21.075000000000003,21.3,141485.184,2.2
2006-10-08,0.1,25.2025,24.585,20.75,20.775000000000002,143280.576,2.125
2006-10-13,3.4,25.412499999999998,24.6925,16.125,17.0,135672.192,2.35
2006-10-18,0.6,25.377500000000005,24.689999999999998,16.325,16.400000000000002,136001.376,2.075
2006-10-23,0.0,25.564999999999998,24.815,18.0,17.85,138782.592,2.1
2006-10-28,0.0,25.632499999999997,24.92,19.675,19.7,125108.92799999999,2.2249999999999996
2006-11-02,2.5,25.402499999999996,24.8075,15.725,16.225,121057.632,2.325
2006-11-07,0.0,25.5925,25.049999999999997,24.125,24.4,137828.736,2.175
2006-11-12,1.5,25.744999999999997,25.189999999999998,15.325,15.774999999999999,143951.904,2.375
2006-11-17,9.0,25.857499999999998,25.310000000000002,19.925,19.95,141627.744,2.0
2006-11-22,5.0,25.939999999999998,25.380000000000003,21.400000000000002,20.875,145415.52000000002,2.0500000000000003
2006-11-27,0.0,25.99,25.4675,12.399999999999999,13.174999999999999,136361.664,2.375
2006-12-02,0.0,26.0475,25.5025,15.625,15.549999999999999,138820.608,2.175
2006-12-07,0.0,25.9625,25.519999999999996,17.625,17.975,131119.776,2.125
2006-12-12,0.0,26.355,25.78,15.375,15.350000000000001,144340.704,2.05
2006-12-17,5.8,26.47,25.79,12.049999999999999,12.3,137687.904,2.3
2006-12-22,0.0,26.7075,25.9275,15.725000000000001,15.325,131679.648,2.125
2006-12-27,0.0,26.745,25.982499999999998,11.825000000000001,11.875,129878.20799999998,2.375
2007-01-01,0.0,26.799999999999997,25.9875,12.9,12.75,131875.77599999998,2.125
2007-01-06,0.2,26.9825,26.15,17.5,16.925,137163.456,2.075
2007-01-11,1.9000000000000001,27.082499999999996,26.257499999999997,12.275,12.325000000000001,140128.704,2.025
2007-01-16,11.0,27.177500000000002,26.345,11.875,12.5,149128.128,2.15
2007-01-21,0.0,27.2625,26.4,11.899999999999999,12.625,149503.104,2.05
2007-01-26,1.9,27.365000000000002,26.544999999999998,10.700000000000001,11.375,142590.24,2.025
2007-01-31,0.0,27.4825,26.655,11.2,11.350000000000001,144671.616,2.0
2007-02-05,0.0,27.512500000000003,26.68,11.475,11.349999999999998,144237.88799999998,2.0
2007-02-10,0.0,27.547500000000003,26.695,14.774999999999999,13.75,131812.70400000003,2.275
2007-02-15,0.0,27.495000000000005,26.6775,12.475000000000001,12.299999999999999,122797.72800000002,2.5
2007-02-20,0.6,27.487500000000004,26.6275,13.024999999999999,12.149999999999999,122586.04800000001,2.3
2007-02-25,1.0,27.3925,26.5625,16.474999999999998,16.174999999999997,116108.64,2.45
2007-03-02,28.3,27.349999999999998,26.51,13.725000000000001,13.2,113174.496,2.55
2007-03-07,0.0,27.292499999999997,26.4225,10.2,9.825,116019.648,2.45
2007-03-12,6.8,27.2175,26.3475,11.575,11.075000000000001,113188.31999999999,2.55
2007-03-17,1.2,27.0925,26.165000000000003,12.325,11.75,110653.34400000001,2.45
2007-03-22,0.0,27.03,26.115,12.625,12.524999999999999,109131.84000000001,2.3
2007-03-27,0.0,27.1075,26.150000000000002,10.55,10.6,121131.936,2.4000000000000004
2007-04-01,1.0,27.04,26.15,16.975,16.174999999999997,118447.48800000001,2.175
2007-04-06,19.0,26.869999999999997,26.044999999999998,11.525000000000002,12.0,105326.784,2.7249999999999996
2007-04-11,0.0,27.0325,26.095,11.325000000000001,9.8,123858.72,2.425
2007-04-16,0.8,27.1825,26.200000000000003,17.45,17.450000000000003,134281.152,2.35
2007-04-21,0.0,27.1875,26.282500000000002,18.625,18.200000000000003,131549.184,2.1
2007-04-26,0.1,26.9525,26.1775,17.724999999999998,16.85,119198.304,2.025
2007-05-01,68.3,26.2825,25.7625,13.3,13.325,91583.136,2.7750000000000004
2007-05-06,28.0,26.37,25.77,14.825000000000001,15.175,76298.976,2.675
2007-05-11,0.8,26.504999999999995,25.83,12.325,12.475,122625.792,2.375
2007-05-16,10.0,26.645,25.907500000000002,19.375,17.875,121226.112,2.225
2007-05-21,0.0,27.045,26.314999999999998,13.025,12.8,136789.344,2.225
2007-05-26,32.0,26.897499999999997,26.1775,17.15,18.299999999999997,124574.112,2.15
2007-05-31,0.0,26.7975,26.1325,13.100000000000001,12.575,127190.304,2.2
2007-06-05,37.6,27.03,26.225,15.299999999999999,15.549999999999999,65752.128,2.55
2007-06-10,6.4,27.247499999999995,26.3175,17.25,17.0,136912.032,2.0
2007-06-15,0.0,27.287499999999998,26.4375,13.299999999999999,13.125,139370.976,2.0999999999999996
2007-06-20,1.2,27.775,26.800000000000004,12.4,11.649999999999999,155832.768,2.05
2007-06-25,0.2,27.985,26.9925,10.450000000000001,10.174999999999999,152992.80000000002,2.05
2007-06-30,0.0,28.18,27.1575,9.3,9.175,151687.296,2.025
2007-07-05,0.0,28.4825,27.4025,8.15,7.7,164840.83200000002,2.025
2007-07-10,1.6,28.8425,27.7075,10.75,10.6,173110.17600000004,1.95
2007-07-15,0.2,29.127499999999998,28.007499999999997,4.825,3.55,175336.704,2.0250000000000004
2007-07-20,0.0,29.284999999999997,28.22,7.550000000000001,5.65,172641.02399999998,2.025
2007-07-25,6.5,29.5875,28.48,10.35,7.199999999999999,173251.008,1.95
2007-07-30,7.1,29.822500000000005,28.7025,10.725,9.8,150073.344,2.125
2007-08-04,14.2,29.835,28.7975,9.875,9.525,126448.128,2.625
2007-08-09,2.5,29.6375,28.7675,12.25,11.649999999999999,107815.96800000001,2.4000000000000004
2007-08-14,0.0,29.7275,28.830000000000002,11.95,11.375000000000002,120111.552,2.325
2007-08-19,16.2,29.825,28.93,7.449999999999999,6.525,120659.32800000001,2.625
2007-08-24,6.0,29.85,28.990000000000002,9.475,9.05,120140.92800000001,2.55
2007-08-29,13.5,30.3175,29.2025,9.975,9.475,100946.304,2.25
2007-09-03,0.1,30.349999999999998,29.28,9.6,9.2,132573.888,2.45
2007-09-08,0.8,30.5,29.380000000000003,12.025000000000002,11.149999999999999,130479.552,2.275
2007-09-13,6.2,30.677500000000002,29.585,13.475000000000001,12.875,132755.32799999998,2.25
2007-09-18,0.0,30.830000000000002,29.71,17.25,16.825,136340.928,2.2
2007-09-23,2.4,30.872500000000002,29.779999999999998,11.424999999999999,11.0,131302.08000000002,2.3249999999999997
2007-09-28,1.4000000000000001,30.5725,29.76,12.675,11.100000000000001,106165.728,2.425
2007-10-03,19.8,30.82,29.827499999999997,9.35,8.65,121192.416,2.5749999999999997
2007-10-08,0.0,30.834999999999997,29.8525,17.325000000000003,17.275,122475.456,2.075
2007-10-13,2.0,30.924999999999997,29.985,10.55,10.125,126521.56800000001,2.5
2007-10-18,14.8,30.9825,29.9875,6.6499999999999995,6.55,114231.16799999999,2.8
2007-10-23,0.0,30.720000000000002,29.92,9.4,8.225,105846.912,2.725
2007-10-28,2.5,30.61,29.8725,8.65,8.025,112774.464,2.6999999999999997
2007-11-02,35.2,30.7,29.9975,11.075000000000001,10.325,111608.92800000001,2.575
2007-11-07,5.9,30.8075,30.037499999999998,11.15,8.875,105727.68000000001,2.4
2007-11-12,8.6,30.785,30.0475,9.875,7.925000000000001,106636.60800000001,2.525
2007-11-17,12.4,30.82,30.11,6.65,6.1000000000000005,107698.46399999999,2.575
2007-11-22,4.8,30.89,30.14,7.725,6.85,109336.608,2.55
2007-11-27,0.6,30.9525,30.207500000000003,11.0,10.174999999999999,107608.608,2.575
2007-12-02,11.3,31.115000000000002,30.302500000000002,8.725,7.7749999999999995,110029.536,2.6
2007-12-07,8.4,30.990000000000002,30.267500000000002,7.950000000000001,6.9,96531.264,2.7
2007-12-12,21.2,30.845,30.2925,8.299999999999999,7.4,90993.888,2.675
2007-12-17,14.4,31.064999999999998,30.395000000000003,10.5,10.3,103418.20800000001,2.625
2007-12-22,1.4,31.0825,30.36,4.6,4.175000000000001,97011.648,2.475
2007-12-27,0.0,31.119999999999997,30.380000000000003,8.975000000000001,8.075,98821.728,2.325
2008-01-01,0.5,31.167499999999997,30.4225,9.25,8.45,99543.168,2.5
2008-01-06,3.6,31.2225,30.4925,13.325,12.475,100926.432,2.5
2008-01-11,26.700000000000003,31.152500000000003,30.485,9.975,8.5,90264.672,2.625
2008-01-16,0.2,31.125,30.455,11.15,10.7,122332.896,2.425
2008-01-21,0.2,31.082499999999996,30.437500000000004,16.925,15.674999999999999,125056.224,2.15
2008-01-26,0.0,31.287499999999998,30.575000000000003,11.925,10.774999999999999,135405.21600000001,2.225
2008-01-31,0.2,31.197499999999998,30.5425,11.65,11.375,129875.616,2.225
2008-02-05,0.0,31.240000000000002,30.5975,7.85,7.05,129103.2,2.425
2008-02-10,0.1,31.267500000000002,30.6025,8.75,8.525,128905.344,2.45
2008-02-15,0.0,31.3525,30.659999999999997,16.925,15.95,128701.44,2.175
2008-02-20,0.1,31.4125,30.702499999999997,8.0,7.25,133498.36800000002,2.425
2008-02-25,0.8,31.447499999999998,30.7525,11.225,10.575000000000001,130448.448,2.425
2008-03-01,3.2,31.595,30.805,14.4,14.35,134251.776,2.2
2008-03-06,0.0,31.63,30.865,9.65,9.825,135864.864,2.25
2008-03-11,0.0,31.3675,30.8025,10.95,10.549999999999999,114573.31199999999,2.325
2008-03-16,3.8,31.080000000000002,30.6025,6.925,6.250000000000001,99476.63999999998,2.475
2008-03-21,11.8,30.984999999999996,30.474999999999998,11.725000000000001,11.3,97823.80800000002,2.375
2008-03-26,14.7,31.017500000000002,30.51,9.55,7.925000000000001,100021.82400000001,2.475
2008-03-31,0.0,30.9625,30.4475,7.550000000000001,6.45,98487.36,2.4499999999999997
2008-04-05,0.8,30.974999999999998,30.387500000000003,8.35,8.075,103198.75200000001,2.675
2008-04-10,8.6,30.7875,30.370000000000005,12.5,11.299999999999999,103924.512,2.45
2008-04-15,0.0,30.6775,30.29,8.424999999999999,7.725,77629.53600000001,2.4250000000000003
2008-04-20,1.6,30.6325,30.28,6.625,5.7,104950.08,2.725
2008-04-25,12.0,30.482499999999998,30.18,8.45,7.325000000000001,94874.97600000002,2.4749999999999996
2008-04-30,3.4,30.5,30.1525,7.65,6.25,102157.63200000001,2.475
2008-05-05,0.2,30.605,30.16,11.0,10.224999999999998,106589.08799999999,2.475
2008-05-10,1.7,30.6875,30.1775,7.1499999999999995,8.4,101906.20800000001,2.625
2008-05-15,1.8,27.269999999999996,26.725,8.899999999999999,8.6,110655.936,2.625
2008-05-20,26.9,27.29,26.575,9.85,9.175,104003.136,2.975
2008-05-25,0.0,27.590000000000003,27.1875,15.825000000000001,14.375,120411.36,2.25
2008-05-30,4.7,30.5075,30.04,11.575,10.350000000000001,99163.872,2.625
