,Rainfall_Terni,Flow_Rate_Lupa
2009-05-30,819.6449999999998,99.02702602230482
2010-02-24,723.096,81.14055762081784
2010-11-21,627.4869999999999,81.77308550185873
2011-08-18,465.51800000000003,84.47828996282529
2012-05-14,783.243,87.18033457249071
2013-02-08,692.1670000000001,89.88602230483271
2013-11-05,837.198,92.59282527881041
2014-08-02,858.6960000000001,95.29434944237919
2015-04-29,499.748,98.07007434944238
2016-01-24,670.45,100.70364312267658
2016-10-20,419.13300000000004,103.41063197026023
2017-07-17,623.119,106.11189591078066
2018-04-13,656.988,108.81434944237918
2019-01-08,540.1220000000001,111.51981412639405
2019-10-05,755.4920000000001,103.37973977695168
