,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
2006-03-17,304.40000000000003,23.123072625698327,22.515642458100558,14.809497206703911,13.636312849162008,5022074.304,2.469832402234637
2006-09-13,129.4,26.28541899441341,25.585865921787708,15.346368715083798,15.287709497206704,5864208.192,2.253631284916201
2007-03-12,303.20000000000005,27.983743016759778,27.076759776536317,12.473743016759778,12.003351955307261,5802612.768,2.275977653631285
2007-09-08,289.29999999999995,31.001675977653626,30.216089385474863,10.540782122905028,9.746927374301677,5180874.9120000005,2.460335195530726
2008-03-06,222.5,31.033631284916193,30.40413407821229,9.624581005586593,8.835195530726256,4962221.568,2.4508379888268155
2008-09-02,169.7,32.34988826815643,31.62122905027933,10.498882681564245,10.282122905027933,5507054.784,2.3949720670391064
2009-03-01,128.4,28.435474860335198,27.845139664804467,19.035195530726256,18.231843575418992,5473450.368000001,2.1977653631284917
2009-08-28,213.39999999999998,29.45234636871508,28.77787709497207,10.668156424581007,10.530167597765363,5763978.144,2.2804469273743018
2010-02-24,123.4,26.752793296089386,26.129553072625697,17.593296089385476,16.91731843575419,5299778.592,2.310055865921788
2010-08-23,185.60000000000002,26.295530726256985,25.60117318435754,10.774301675977654,10.646368715083801,5256068.832,2.3307262569832403
2011-02-19,115.1,24.23402234636871,23.607877094972068,17.3927374301676,16.758659217877096,5166617.184,2.141899441340782
2011-08-18,120.60000000000001,27.26798882681564,26.502346368715084,11.724022346368715,11.584916201117318,6405003.072,1.964245810055866
2012-02-14,49.9,30.066424581005585,29.181508379888268,18.173743016759772,17.168156424581007,6082712.064,2.037988826815642
2012-08-12,167.60000000000002,33.165139664804464,32.271955307262566,13.222346368715085,12.905027932960893,5916919.967999999,2.3027932960893858
2013-02-08,276.79999999999995,25.083128491620112,24.428491620111732,16.137430167597767,15.243575418994416,5621299.776000001,2.440782122905028
2013-08-07,312.1,23.007486033519555,22.377374301675978,13.667039106145252,13.222905027932958,5410348.992,2.377094972067039
2014-02-03,483.19999999999993,20.65005586592179,19.86659217877095,16.36312849162011,15.413966480446927,5016648.384,2.594413407821229
2014-08-02,367.20000000000005,21.77217877094972,21.08731843575419,14.698882681564246,14.099441340782123,4883949.216,2.7547486033519553
2015-01-29,292.2,21.042067039106147,20.727932960893856,16.601117318435755,4.3765363128491614,4638569.760000001,1.4759776536312847
2015-07-28,316.09999999999997,23.191117318435754,22.80977653631285,14.826256983240224,7.022346368715084,4734754.5600000005,1.8681564245810054
2016-01-24,452.2,24.33810055865922,24.06709497206704,15.755307262569831,15.364245810055868,4376784.672,2.9206703910614524
2016-07-22,484.0,24.39256983240223,24.109608938547492,14.475977653631286,14.313966480446929,4534030.08,2.6318435754189946
2017-01-18,217.2,23.899888268156424,23.63860335195531,15.94413407821229,15.494972067039106,4715498.592,2.689385474860335
2017-07-17,367.4,27.386592178770954,26.868994413407826,15.897765363128492,15.45977653631285,5151889.4399999995,2.4648044692737434
2018-01-13,463.0,25.586536312849162,25.099720670391058,14.413966480446929,14.029608938547485,4939987.392,2.743575418994413
2018-07-12,325.20000000000005,25.911173184357544,25.382067039106143,16.83743016759777,16.49608938547486,5350965.408,2.353072625698324
2019-01-08,366.0,25.946480446927374,25.675530726256984,13.667597765363128,13.203351955307262,4335470.784,2.657541899441341
2019-07-07,418.0,26.793966480446922,26.35150837988827,17.90167597765363,17.602793296089384,4344034.752,2.4642458100558655
2020-01-03,261.40000000000003,25.39083798882682,25.072960893854745,13.07094972067039,12.734078212290504,4720047.551999999,2.5368715083798885
