,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Incisa,Temperature_Firenze,Hydrometry_Nave_di_Rosano
1998-04-28,384.79999999999995,228.8,360.20000000000005,374.6,263.4,432.19999999999993,335.2,17.151396648044695,1.3808379888268156
1998-10-25,457.19999999999993,368.20000000000005,379.6,566.4,382.2,546.4,499.59999999999997,12.6427374301676,1.8328491620111729
1999-04-23,333.20000000000005,239.6,360.4,412.20000000000005,267.2,413.4,329.79999999999995,15.734916201117317,1.3751396648044691
1999-10-20,545.0,414.0,404.2,544.8,377.0,573.4000000000001,523.8,13.26340782122905,1.7850837988826818
2000-04-17,586.6,418.2,542.4000000000001,548.6000000000001,427.4,633.4,393.20000000000005,19.47486033519553,1.251117318435754
2000-10-14,404.0,252.39999999999998,354.0,393.59999999999997,273.8,372.20000000000005,452.0,12.054189944134077,2.073687150837989
2001-04-12,446.6,330.6,436.4,535.0,348.0,559.8,262.4,21.837709497206703,1.3179888268156426
2001-10-09,317.0,215.79999999999998,253.19999999999996,315.2,232.79999999999995,372.4,332.79999999999995,10.749441340782123,1.3241899441340783
2002-04-07,523.4,376.4,492.8,575.4,437.4,654.4,315.4,21.515642458100558,1.2427932960893853
2002-10-04,440.4,360.8,390.79999999999995,469.4,339.4,525.4000000000001,490.40000000000003,10.813966480446926,1.871340782122905
2003-04-02,425.6,304.4,380.79999999999995,444.20000000000005,368.0,431.20000000000005,458.40000000000003,23.721508379888267,1.2078212290502792
2003-09-29,513.0,448.0,417.79999999999995,542.5999999999999,379.0,535.4,422.0,10.660055865921787,1.6216201117318434
2004-03-27,365.4,305.4,285.0,338.2,267.6,408.8,303.2,21.160335195530724,1.4261452513966482
2004-09-23,561.0,551.0,381.0,645.6,469.40000000000003,590.2,408.6,10.37486033519553,1.5966480446927376
2005-03-22,399.0,339.4,445.6,414.0,331.6,390.0,327.40000000000003,21.418435754189947,1.312067039106145
2005-09-18,865.0,739.0000000000001,722.8,867.4000000000001,717.4,837.0,595.6,10.229888268156426,1.968268156424581
2006-03-17,279.0,195.4,272.0,375.0,228.6,327.59999999999997,188.0,21.175977653631286,1.2340782122905027
2006-09-13,650.4,406.0,480.40000000000003,711.4,456.40000000000003,695.0,428.2,13.495530726256982,1.3522346368715086
2007-03-12,366.4,259.6,260.4,316.6,255.6,319.0,346.20000000000005,20.9463687150838,1.1926256983240222
2007-09-08,527.4000000000001,328.0,456.8,522.2,430.4,555.1999999999999,302.79999999999995,11.76536312849162,1.2483240223463685
2008-03-06,417.00000000000006,297.8,312.0,414.6,339.6,429.2,280.6,20.356424581005584,1.3837988826815641
2008-09-02,675.6,633.2,627.5999999999999,927.6,601.1999999999999,1022.2,592.8,12.034078212290503,1.717709497206704
2009-03-01,354.0,230.8,275.79999999999995,337.8,279.2,371.2,331.6,20.868435754189942,1.3455307262569833
2009-08-28,839.8,645.4,683.8,851.8,674.4000000000002,950.6,537.4000000000001,12.497765363128494,1.5879888268156424
2010-02-24,608.2,407.2,435.0,474.4,428.6,506.4,412.4,18.962290502793294,1.6478770949720671
2010-08-23,915.2,757.8,754.5999999999999,984.2,705.5999999999999,996.2,643.2,12.395530726256984,1.801508379888268
2011-02-19,407.6,312.8,324.6,336.4,299.0,373.4,237.40000000000003,18.95223463687151,1.4198324022346371
2011-08-18,362.4,341.0,269.79999999999995,324.0,290.20000000000005,417.2,246.20000000000002,13.763966480446927,1.1154189944134079
2012-02-14,405.0,352.0,334.4,293.8,269.0,330.0,274.2,19.03212290502793,1.274581005586592
2012-08-12,790.2,774.0000000000001,712.0,862.4,345.6,982.8000000000001,693.1999999999999,14.677932960893854,1.7327374301675975
2013-02-08,692.8,615.0,580.6,571.5999999999999,333.40000000000003,845.0000000000001,531.8,17.214525139664804,1.8747486033519551
2013-08-07,883.0,734.8,814.5999999999999,1109.6,566.0,1063.8,626.6000000000001,15.529608938547486,1.6627374301675977
2014-02-03,636.4,544.4,579.8,688.6,430.0,620.8,389.6,17.747206703910614,1.6988268156424582
2014-08-02,565.6,656.8,571.0,622.0,572.0,589.0,423.8,16.328491620111734,1.3608938547486036
2015-01-29,442.0,463.20000000000005,442.6,469.0,405.80000000000007,461.80000000000007,327.6,19.060055865921786,1.55608938547486
2015-07-28,585.2,549.0,581.8,593.0,469.8,565.2,455.4,16.422067039106146,1.2389385474860335
2016-01-24,599.0,493.4,476.0,714.2,499.8,709.6,503.79999999999995,18.185474860335194,1.7137430167597765
2016-07-22,473.19999999999993,482.79999999999995,444.20000000000005,587.0,472.2,596.0,298.6,15.946648044692738,1.3339664804469273
2017-01-18,335.6,279.20000000000005,342.40000000000003,483.2,335.0,461.79999999999995,315.8,17.985195530726255,1.3823463687150839
2017-07-17,626.4,613.6,563.6,762.2,522.8,691.6000000000001,343.8,21.11173184357542,1.2127932960893855
2018-01-13,648.2,497.79999999999995,431.6,725.5999999999999,544.2,686.1999999999999,399.0,12.482960893854747,1.9230167597765364
2018-07-12,464.2,382.20000000000005,420.20000000000005,421.40000000000003,380.40000000000003,527.0,299.40000000000003,19.143296089385476,1.1667039106145252
2019-01-08,444.2,354.4,467.79999999999995,576.4,438.4,450.20000000000005,223.79999999999998,15.674860335195532,1.517486033519553
2019-07-07,865.6,801.8,684.4,909.4000000000001,802.6000000000001,1100.4,499.0,17.168156424581007,1.5753631284916199
2020-01-03,426.4,403.6,347.6,472.4,437.4,448.4,331.6,12.441899441340782,1.6559776536312854
