,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
2015-01-29,440.8,660.2,720.2,690.0,630.6,36.54966480446927,50.475083798882686,292.3209497206704,12.911731843575417,11.910893854748604,11.348603351955308,0.35066935298882684,2.9658642028826816,6.040354787044693,24.136428918044704
2015-07-28,415.4,619.2,626.4,780.1999999999999,711.4,36.59122905027933,50.49106145251397,292.42,12.635754189944135,11.509776536312849,10.872625698324022,0.3418581877486034,2.921325893424581,5.558203170268156,23.429779024581002
2016-01-24,648.8000000000001,803.3,726.2,886.2,818.0,37.049553072625706,50.907486033519554,296.2167597765363,12.098603351955308,11.27905027932961,10.656703910614526,0.3462669275698324,2.8845353525586592,5.242063163921788,22.702201358268155
2016-07-22,432.59999999999997,648.6,556.8000000000001,724.8000000000001,716.4,37.5659217877095,51.29826815642458,299.7067597765364,12.277374301675975,11.451396648044694,10.962290502793296,0.34866470478770956,2.792955359329609,5.091048249687151,21.967435423240225
2017-01-18,209.40000000000003,271.4,248.6,302.2,294.8,38.218715083798884,51.769050279329605,304.87106145251397,12.448882681564246,11.515921787709496,11.429329608938547,0.3233978407765363,2.2651348815195527,4.523648645636872,21.677153243240223
2017-07-17,430.8,576.2,556.0,547.2,478.20000000000005,39.016871508379886,52.401955307262575,309.78050279329614,13.223184357541898,12.042737430167598,12.14078212290503,0.21872198343016758,1.869755296273743,3.6499599562067035,20.011913835474857
2018-01-13,745.4,945.4000000000001,993.4,1457.0,499.0,39.36469273743016,52.66178770949721,313.0054748603352,10.573463687150838,9.841061452513967,9.78826815642458,0.2649645877150838,1.5830772599944132,3.7246724793016757,19.385524747541897
2018-07-12,465.20000000000005,731.1,590.4,796.0,331.8,39.55921787709497,52.766145251396644,313.6222905027933,14.125698324022347,13.063407821229049,13.089385474860336,0.3079024678547486,2.3499911303743013,4.737240211039107,18.602154339664807
2019-01-08,548.2,700.4,671.1999999999999,792.2,454.2,39.501843575419,52.77307262569833,313.65240223463684,10.155027932960893,9.260614525139664,9.239106145251398,0.31593733703910615,2.4701410342234635,4.854890649385476,18.915539847653633
2019-07-07,863.5999999999999,1207.2,1019.2,1203.6,429.4,39.21162011173185,52.52324022346369,310.893687150838,15.097206703910615,13.858379888268157,14.022067039106144,0.3464132990670391,2.6788292534357545,3.6229771054357536,19.099021450502793
2020-01-03,415.0,599.9,503.0,631.0,238.60000000000002,38.69072625698324,52.12486033519554,305.1421229050279,10.154189944134078,9.262849162011173,9.1963687150838,0.3604247865586593,2.829514399625699,5.868608761128492,20.43263229044693
