,Rainfall_Terni,Flow_Rate_Lupa
2009-02-19,11.052,167.34
2009-02-24,11.052,171.26749999999998
2009-03-01,8.304,173.065
2009-03-06,8.304,177.33
2009-03-11,8.304,181.3175
2009-03-16,8.304,181.895
2009-03-21,8.304,182.12
2009-03-26,8.304,181.4525
2009-03-31,10.446,180.11749999999998
2009-04-05,11.16,180.28000000000003
2009-04-10,11.16,180.29500000000002
2009-04-15,11.16,180.04749999999999
2009-04-20,11.16,180.15249999999997
2009-04-25,11.16,180.1825
2009-04-30,6.207000000000001,138.17
2009-05-05,4.556,107.975
2009-05-10,4.556,132.14999999999998
2009-05-15,4.556,107.9725
2009-05-20,4.556,107.975
2009-05-25,4.556,120.06
2009-05-30,8.402,156.745
2009-06-04,12.248,154.595
2009-06-09,12.248,150.5575
2009-06-14,12.248,146.4225
2009-06-19,12.248,142.44
2009-06-24,12.248,139.17
2009-06-29,8.676,135.5525
2009-07-04,5.104,133.8275
2009-07-09,5.104,131.6225
2009-07-14,5.104,127.8475
2009-07-19,5.104,124.0625
2009-07-24,5.104,120.85249999999999
2009-07-29,4.7780000000000005,118.0525
2009-08-03,3.8,115.4525
2009-08-08,3.8,112.705
2009-08-13,3.8,109.72749999999999
2009-08-18,3.8,106.43
2009-08-23,3.8,106.1575
2009-08-28,3.8,100.445
2009-09-02,14.28,97.93499999999999
2009-09-07,14.28,95.6275
2009-09-12,14.28,93.435
2009-09-17,14.28,92.0025
2009-09-22,14.28,90.005
2009-09-27,14.28,87.58500000000001
2009-10-02,10.248,85.3775
2009-10-07,10.248,83.2575
2009-10-12,10.248,81.4575
2009-10-17,10.248,80.315
2009-10-22,10.248,78.0225
2009-10-27,10.248,77.6125
2009-11-01,16.228,92.26499999999999
2009-11-06,16.228,92.2425
2009-11-11,16.228,92.2475
2009-11-16,16.228,92.235
2009-11-21,16.228,92.2525
2009-11-26,16.228,92.26499999999999
2009-12-01,21.232,77.64
2009-12-06,21.232,77.625
2009-12-11,21.232,77.6425
2009-12-16,21.232,77.605
2009-12-21,21.232,77.595
2009-12-26,21.232,77.645
2009-12-31,15.126999999999999,77.695
2010-01-05,13.092,77.745
2010-01-10,13.092,77.795
2010-01-15,13.092,77.845
2010-01-20,13.092,77.895
2010-01-25,13.092,77.945
2010-01-30,14.024000000000001,77.995
2010-02-04,14.956,78.065
2010-02-09,14.956,78.075
