,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
2004-03-27,236.6,306.2,241.39999999999998,262.6,315.8,17.584701492537313,251.78343283582092,3.8917910447761193
2004-08-09,351.0,485.6,276.20000000000005,411.4000000000001,422.3999999999999,15.732462686567168,247.9337313432836,1.7574626865671643
2004-12-22,266.8,369.6,328.20000000000005,332.6,325.0,7.3235074626865675,250.96432835820897,3.4447761194029844
2005-05-06,213.4,235.4,264.6,188.2,261.20000000000005,21.20634328358209,251.0717910447761,1.9037313432835818
2005-09-18,581.0,691.0,594.3999999999999,594.2,695.0000000000001,8.947388059701494,250.31291044776114,4.392537313432837
2006-01-31,297.6,366.8,319.2,284.0,360.0,11.683582089552239,251.945,4.68731343283582
2006-06-15,177.8,372.79999999999995,234.39999999999998,151.0,230.00000000000003,21.56902985074627,249.68619402985072,2.1985074626865675
2006-10-28,348.4,526.8,329.6,313.40000000000003,511.59999999999997,9.804850746268656,247.4168656716418,1.6097014925373134
2007-03-12,162.0,236.6,175.6,172.0,216.20000000000002,17.90597014925373,250.89626865671647,1.0686567164179104
2007-07-25,298.80000000000007,345.0,304.0,248.0,401.4,16.641417910447764,246.83485074626861,2.243731343283582
2007-12-07,366.4,428.19999999999993,365.79999999999995,296.0,458.4,8.213059701492536,247.39753731343288,0.6761194029850746
2008-04-20,188.8,229.6,183.8,156.4,224.0,20.86305970149254,250.87305970149256,1.6119402985074627
2008-09-02,420.20000000000005,693.2,460.0,491.2,475.4,12.151119402985074,248.11440298507463,2.3868656716417913
2009-01-15,390.4,494.0,370.59999999999997,332.20000000000005,481.20000000000005,11.9205223880597,251.54694029850748,4.965522388059701
2009-05-30,108.6,126.2,128.4,81.2,146.0,22.851492537313433,249.44194029850746,1.9074626865671642
2009-10-12,628.0,798.1999999999998,620.1999999999999,602.4,758.1999999999999,8.136940298507461,248.36589552238806,3.6199253731343286
2010-02-24,312.79999999999995,370.4,336.99999999999994,278.2,449.00000000000006,15.403358208955225,251.86350746268656,3.477611940298508
2010-07-09,469.4000000000001,532.3999999999999,473.79999999999995,485.6,626.0,18.672388059701493,249.6252985074627,2.623358208955224
2010-11-21,484.59999999999997,708.0,517.4,561.0,640.8,7.929850746268658,251.52910447761195,7.226940298507463
2011-04-05,160.79999999999998,179.6,181.0,149.60000000000002,209.2,20.28208955223881,250.9438805970149,1.1607462686567165
2011-08-18,267.8,303.59999999999997,246.6,318.0,327.8,16.257462686567163,245.74940298507462,2.3004477611940293
2011-12-31,239.39999999999998,220.00000000000003,241.0,270.4,317.20000000000005,10.633955223880598,245.12067164179103,0.5328358208955224
2012-05-14,76.0,164.4,170.0,157.8,190.60000000000002,22.80671641791045,246.75768656716417,1.2548507462686567
2012-09-26,320.4,789.5999999999999,654.6,717.4000000000001,716.0,11.088805970149254,247.3224626865672,2.53320895522388
2013-02-08,305.4,534.2,528.8,577.8,672.2,13.788805970149252,251.6844776119403,6.812089552238805
2013-06-23,304.6,473.79999999999995,420.6,376.0,399.6,21.737686567164175,249.41119402985075,2.738059701492537
2013-11-05,448.80000000000007,979.2,691.8,631.8,784.0,10.956343283582088,250.2405970149254,7.007835820895524
2014-03-20,265.2,374.0,327.4,301.40000000000003,346.2,17.458955223880597,250.04776119402982,1.5902985074626868
2014-08-02,525.8,543.0,526.4,593.1999999999999,508.79999999999995,15.984328358208955,248.98500000000004,2.779328358208955
2014-12-15,318.79999999999995,428.2,328.6,342.80000000000007,347.79999999999995,8.067910447761195,250.55686567164176,2.833955223880597
2015-04-29,193.6,176.99999999999997,247.60000000000002,273.6,254.2,21.425746268656717,250.62932835820897,1.5671641791044777
2015-09-11,399.0,526.4000000000001,483.0,437.6,466.6,10.763805970149253,247.33708955223884,1.5529850746268654
2016-01-24,464.0,683.8000000000001,440.00000000000006,455.4,556.2,11.442537313432837,251.1023134328358,4.111716417910448
2016-06-07,241.4,319.79999999999995,263.2,231.20000000000002,244.2,20.78992537313433,249.36925373134332,2.044776119402985
2016-10-20,419.4,517.0,368.20000000000005,404.0,419.80000000000007,7.446268656716417,248.55388059701494,1.2850746268656716
2017-03-04,164.6,247.19999999999996,180.79999999999998,150.2,172.2,16.776865671641794,250.59910447761195,1.4880597014925374
2017-07-17,268.4,404.0,350.4,318.0,360.19999999999993,17.35559701492537,247.44582089552242,1.4970149253731342
2017-11-29,656.2,899.0,507.0,685.3999999999999,746.1999999999999,6.25410447761194,250.33097014925372,5.994925373134328
2018-04-13,184.39999999999998,231.39999999999998,223.79999999999998,224.0,287.79999999999995,20.900373134328355,251.60388059701492,1.2895522388059701
2018-08-26,307.19999999999993,344.2,306.6,237.2,308.3999999999999,12.976119402985072,247.169776119403,1.5776119402985076
2019-01-08,378.59999999999997,508.0,395.4,336.0,387.0,9.43544776119403,249.8320149253732,0.7149253731343284
2019-05-23,252.39999999999998,269.6,203.8,159.2,274.20000000000005,21.965671641791047,250.27835820895518,1.6873134328358206
2019-10-05,687.8,822.0,611.8,739.0,728.0,9.672761194029851,249.3270149253732,5.314104477611941
2020-02-17,360.4,362.0,279.4,325.0,347.0,13.800746268656718,250.95126865671642,2.2135074626865676
