,Rainfall_Terni,Flow_Rate_Lupa
2009-03-01,60.204,179.60793103448276
2009-03-31,80.19600000000004,180.18344827586208
2009-04-30,34.682,120.47413793103446
2009-05-30,84.95199999999998,148.34586206896552
2009-06-29,40.576000000000015,128.98896551724138
2009-07-29,28.527999999999995,111.3441379310345
2009-08-28,93.04999999999995,94.88241379310345
2009-09-27,78.32999999999998,82.68620689655171
2009-10-27,110.17800000000001,89.70517241379311
2009-11-26,147.67699999999996,80.14758620689656
2009-12-26,107.12699999999998,77.77
2010-01-25,105.16900000000003,78.06965517241379
2010-02-24,78.88699999999997,78.37
2010-03-26,87.84300000000003,78.72724137931036
2010-04-25,113.28999999999996,78.94000000000003
2010-05-25,63.833999999999996,89.82137931034484
2010-06-24,43.67299999999998,84.24275862068967
2010-07-24,27.733999999999998,80.18034482758621
2010-08-23,35.02199999999999,79.67862068965518
2010-09-22,73.25000000000001,79.97620689655172
2010-10-22,181.52000000000004,80.25620689655172
2010-11-21,146.72699999999995,80.57344827586206
2010-12-21,69.69699999999999,80.87
2011-01-20,49.72800000000001,81.18137931034484
2011-02-19,81.58900000000004,81.47620689655172
2011-03-21,63.886999999999986,81.75793103448277
2011-04-20,45.58700000000001,82.08310344827584
2011-05-20,52.998999999999995,82.35931034482758
2011-06-19,63.28200000000002,82.67965517241382
2011-07-19,36.23000000000001,82.97620689655172
2011-08-18,29.407000000000004,83.28241379310344
2011-09-17,56.763,83.58310344827584
2011-10-17,54.439,83.86137931034483
2011-11-16,49.499,84.18724137931035
2011-12-16,41.667000000000016,84.47620689655172
2012-01-15,41.62299999999999,84.78379310344828
2012-02-14,45.092999999999996,85.08310344827584
2012-03-15,45.94499999999999,85.36172413793102
2012-04-14,87.00399999999998,85.69000000000001
2012-05-14,60.049,85.96827586206896
2012-06-13,19.667,86.2851724137931
2012-07-13,22.539,86.58310344827586
2012-08-12,55.47100000000002,86.8648275862069
2012-09-11,115.85399999999998,87.19000000000001
2012-10-11,146.53,87.47172413793105
2012-11-10,165.85499999999996,87.78999999999999
2012-12-10,83.78699999999999,88.08103448275861
2013-01-09,90.27899999999998,88.38758620689653
2013-02-08,112.956,88.69000000000001
2013-03-10,106.06800000000003,88.97206896551725
2013-04-09,65.58800000000001,89.28999999999999
2013-05-09,76.156,89.58310344827584
2013-06-08,40.041999999999994,89.89
2013-07-08,56.47699999999999,90.19000000000001
2013-08-07,44.96500000000001,90.4796551724138
2013-09-06,62.46700000000001,90.78999999999999
2013-10-06,108.04999999999998,91.08827586206895
2013-11-05,146.688,91.39
2013-12-05,46.432,91.69724137931036
2014-01-04,137.01299999999998,91.98241379310346
2014-02-03,113.98100000000001,92.28999999999999
2014-03-05,77.967,92.58999999999999
2014-04-04,62.166000000000004,92.89
2014-05-04,64.28199999999998,93.20068965517244
2014-06-03,103.883,93.49620689655174
2014-07-03,61.79899999999999,93.79896551724137
2014-08-02,27.057000000000002,94.08206896551725
2014-09-01,70.38300000000002,94.39
2014-10-01,84.65099999999998,94.70103448275863
