,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Incisa,Temperature_Firenze,Hydrometry_Nave_di_Rosano
1998-01-08,5.800000000000001,0.4,3.8,11.4,2.4000000000000004,4.6,10.0,9.916666666666666,1.7022222222222223
1998-01-18,25.999999999999996,11.799999999999999,20.400000000000002,38.400000000000006,19.6,9.799999999999999,25.2,12.516666666666666,2.11
1998-01-28,31.0,21.999999999999996,27.0,32.8,14.0,25.599999999999998,37.6,12.483333333333334,1.7033333333333334
1998-02-07,23.2,10.399999999999999,17.2,18.599999999999998,31.199999999999996,7.800000000000001,6.4,13.266666666666666,1.6366666666666667
1998-02-17,32.6,19.200000000000003,25.400000000000002,29.799999999999997,11.6,31.4,33.2,13.311111111111112,1.6822222222222223
1998-02-27,25.4,33.6,18.799999999999997,21.0,18.4,22.999999999999996,36.4,14.488888888888889,1.6155555555555554
1998-03-09,22.2,11.2,7.3999999999999995,19.4,15.999999999999998,40.0,7.8,10.722222222222221,1.7911111111111113
1998-03-19,18.4,13.8,14.600000000000001,18.6,11.200000000000001,20.4,14.4,12.7,1.6777777777777778
1998-03-29,12.2,11.8,11.8,13.999999999999998,12.2,16.6,11.600000000000001,9.822222222222221,1.6922222222222223
1998-04-08,26.0,16.2,18.6,21.0,9.999999999999998,16.8,56.60000000000001,9.566666666666666,2.5155555555555558
1998-04-18,42.0,43.2,33.8,35.8,35.0,33.0,16.400000000000002,9.555555555555555,2.145555555555555
1998-04-28,20.400000000000002,16.6,15.8,27.6,21.8,9.2,29.000000000000004,9.822222222222221,2.2777777777777777
1998-05-08,8.4,5.2,10.799999999999999,11.6,3.6,39.6,3.4000000000000004,13.394444444444446,1.6344444444444444
1998-05-18,8.2,5.4,7.0,11.600000000000001,15.2,4.6,3.0,15.544444444444444,1.468888888888889
1998-05-28,42.0,15.2,17.0,16.4,10.8,49.8,53.2,13.261111111111111,1.5688888888888888
1998-06-07,21.4,13.6,17.599999999999998,19.6,12.4,17.4,45.2,15.18888888888889,1.482222222222222
1998-06-17,3.0000000000000004,2.8,4.0,3.0000000000000004,9.2,4.0,9.600000000000001,13.494444444444445,1.3022222222222224
1998-06-27,23.200000000000003,8.8,30.8,17.799999999999997,17.599999999999998,13.799999999999999,31.6,21.933333333333334,1.2055555555555555
1998-07-07,19.8,8.0,34.2,23.0,10.8,21.4,17.0,21.933333333333334,1.171111111111111
1998-07-17,37.400000000000006,32.4,44.0,35.8,27.0,36.6,13.600000000000001,23.16666666666667,1.1288888888888888
1998-07-27,15.0,6.2,14.399999999999999,8.8,7.199999999999999,20.599999999999998,6.8,24.76111111111111,1.1111111111111112
1998-08-06,52.599999999999994,26.2,33.2,34.6,24.2,43.39999999999999,1.8,19.216666666666665,1.0933333333333333
1998-08-16,6.800000000000001,3.4,2.4,9.8,3.2,9.6,5.2,21.311111111111114,1.097777777777778
1998-08-26,7.6000000000000005,3.2,10.0,12.200000000000001,6.4,8.200000000000001,7.0,18.83888888888889,1.0844444444444445
1998-09-05,24.600000000000005,16.799999999999997,14.6,23.2,8.6,19.6,15.4,17.244444444444444,1.1444444444444444
1998-09-15,26.8,17.4,23.200000000000003,32.2,18.0,25.0,21.2,24.71666666666667,1.1044444444444446
1998-09-25,24.599999999999998,25.599999999999998,20.8,29.0,28.0,41.0,26.8,15.294444444444444,1.4133333333333333
1998-10-05,6.6,1.2,8.2,11.799999999999999,8.2,8.200000000000001,4.0,10.955555555555556,1.78
1998-10-15,27.0,13.2,20.0,28.4,13.2,25.0,16.6,9.85,1.941111111111111
