,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Incisa,Temperature_Firenze,Hydrometry_Nave_di_Rosano
1998-04-28,660.8,486.2,576.5999999999999,662.0,523.0,761.1999999999999,556.0,15.899628252788103,1.4739776951672865
1999-01-23,529.1999999999999,358.2,530.4,695.2,412.2,636.8,619.6,14.455576208178437,1.5884758364312266
1999-10-20,857.6,639.4000000000001,673.6,821.5999999999999,594.5999999999999,922.5999999999999,714.0,13.98810408921933,1.6347583643122678
2000-07-16,672.2,438.79999999999995,616.4000000000001,662.0,469.7999999999999,643.8,654.4000000000001,15.871933085501857,1.772379182156134
2001-04-12,605.0,456.6,575.5999999999999,726.6,505.59999999999997,769.4,449.6,18.197583643122677,1.2886988847583645
2002-01-07,689.1999999999999,474.0,606.8000000000001,703.5999999999999,520.4000000000001,817.0,465.79999999999995,17.918587360594795,1.3005947955390333
2002-10-04,653.0,514.4,594.5999999999999,704.5999999999999,510.4,719.2,760.2,14.185130111524165,1.6975092936802973
2003-07-01,723.6,598.8,594.0,751.0,568.2,773.2,610.6,15.921375464684017,1.435724907063197
2004-03-27,739.2,675.0,518.8,792.8,588.4,810.0,612.0,18.909665427509296,1.4785130111524165
2004-12-22,586.2,520.8,592.8,605.0,480.19999999999993,579.0,427.20000000000005,16.437918215613383,1.4099628252788103
2005-09-18,1055.2,878.2,913.8,1058.0,878.6000000000001,1003.6,690.4000000000001,12.311710037174722,1.787472118959108
2006-06-15,741.5999999999999,464.4,564.2,899.5999999999999,526.4,860.4,524.8,17.604832713754647,1.2495167286245352
2007-03-12,618.2,420.0,479.6,581.6,461.0,588.2,468.2,18.9682156133829,1.1541263940520443
2007-12-07,693.2,465.6,557.0,673.8,566.4000000000001,717.0,461.8,16.40873605947956,1.3956505576208178
2008-09-02,965.4000000000001,825.8000000000001,837.5999999999999,1191.4,817.2,1318.3999999999999,782.6,13.40185873605948,1.6978810408921934
2009-05-30,904.1999999999999,683.6,748.6,924.4000000000001,736.5999999999999,1021.4,679.2,16.877695167286248,1.4026022304832715
2010-02-24,1075.0,763.8,810.8,902.8000000000001,782.2,945.4000000000001,731.6,18.509107806691453,1.5668029739776952
2010-11-21,850.0,710.6000000000001,698.4000000000001,887.6,645.4000000000001,926.6,550.8,15.070074349442379,1.6785501858736058
2011-08-18,645.0,588.4000000000001,487.59999999999997,523.5999999999999,507.2,654.0,453.6,13.700371747211896,1.2111524163568774
2012-05-14,906.6000000000001,875.1999999999999,824.8,954.0,396.4,1073.0,760.0,17.935687732342007,1.5346468401486988
2013-02-08,1071.8,953.8,949.4,1008.0,610.0,1280.0,835.0,18.66710037174721,1.6743866171003716
2013-11-05,1130.1999999999998,933.1999999999999,1019.2,1353.2,714.0,1239.6,687.6000000000001,15.016171003717474,1.822081784386617
2014-08-02,857.2,936.4000000000001,855.4000000000001,972.2,844.8,922.0,603.6,14.685873605947956,1.5497026022304834
2015-04-29,720.8,711.2,730.5999999999999,703.4,592.5999999999999,674.4000000000001,583.1999999999999,19.85371747211896,1.2195167286245354
2016-01-24,800.5999999999999,686.5999999999999,703.2,1003.5999999999999,705.4,932.2,585.2,19.77342007434944,1.5174349442379182
2016-10-20,606.8,568.8,560.4000000000001,780.2,600.4000000000001,836.2,532.8000000000001,14.964684014869889,1.4342379182156133
2017-07-17,1129.8,1021.3999999999999,875.6,1319.6,946.8,1208.6,624.1999999999999,17.726951672862455,1.6062453531598515
2018-04-13,602.1999999999999,465.2,537.6,586.0,496.6,690.4,417.20000000000005,17.412267657992565,1.2598513011152417
2019-01-08,661.2,495.2,612.4,782.6,631.0,643.4000000000001,304.6,17.1860594795539,1.3860594795539034
2019-10-05,1075.0,1064.0,891.1999999999999,1184.6000000000001,1048.4,1363.3999999999999,752.4000000000001,13.023048327137547,1.7806691449814127
