,actual,predicted,error,error_abs,error_sq
2017-10-30,1.997327638986319,-0.01195132452994585,2.009278963516265,2.009278963516265,4.037201953228997
2017-11-14,2.0147079800553556,-0.005473005585372448,2.020180985640728,2.020180985640728,4.081131214744343
2017-11-29,2.133115799483289,-0.05738388001918793,2.190499679502477,2.190499679502477,4.798288845900454
2017-12-14,2.4419525426626363,0.10326356440782547,2.338688978254811,2.338688978254811,5.469466137010531
2017-12-29,2.6301302806773132,0.05525161698460579,2.5748786636927075,2.5748786636927075,6.6300001327399425
2018-01-13,2.749251501101363,0.0672115758061409,2.6820399252952223,2.6820399252952223,7.193338160877602
2018-01-28,2.5876368219208086,-0.01256672851741314,2.6002035504382217,2.6002035504382217,6.761058503711534
2018-02-12,2.9180578024753423,0.03216267004609108,2.885895132429251,2.885895132429251,8.328390715378845
2018-02-27,3.1137115370363606,0.1481323093175888,2.965579227718772,2.965579227718772,8.794660155877066
2018-03-14,2.597336068914069,0.04560692980885506,2.551729139105214,2.551729139105214,6.511321599358636
2018-03-29,1.888693432717801,0.013545490801334381,1.8751479419164667,1.8751479419164667,3.516179804073561
2018-04-13,1.8321529326870287,-0.02321798726916313,1.8553709199561919,1.8553709199561919,3.4424012506190858
2018-04-28,1.5140519517955182,0.07272256910800934,1.4413293826875089,1.4413293826875089,2.0774303893983554
2018-05-13,1.0367752911828683,0.11958418041467667,0.9171911107681916,0.9171911107681916,0.8412395336721891
2018-05-28,1.4104074049500945,0.014012642204761505,1.396394762745333,1.396394762745333,1.949918333422595
2018-06-12,1.3825275781447586,0.03214164078235626,1.3503859373624023,1.3503859373624023,1.823542179826134
2018-06-27,1.7628119961790305,0.017644207924604416,1.745167788254426,1.745167788254426,3.0456106091608453
2018-07-12,2.2584470900669955,0.0191289484500885,2.239318141616907,2.239318141616907,5.014545739374598
2018-07-27,2.4483289355605926,-0.041508615016937256,2.48983755057753,2.48983755057753,6.199291028265914
2018-08-11,2.316709579779569,0.08698964864015579,2.2297199311394134,2.2297199311394134,4.97165097132035
2018-08-26,2.757806060562407,-0.005336431320756674,2.7631424918831637,2.7631424918831637,7.634956430450299
2018-09-10,3.1861379362811917,0.045549485832452774,3.140588450448739,3.140588450448739,9.86329581509201
2018-09-25,3.4874196129480928,-0.03219226002693176,3.5196118729750245,3.5196118729750245,12.38766773638676
2018-10-10,3.8370233500938964,0.009025000035762787,3.8279983500581336,3.8279983500581336,14.653571368047793
2018-10-25,3.7517474534967983,0.06272251904010773,3.6890249344566906,3.6890249344566906,13.60890496704319
2018-11-09,3.9549227079943843,0.10956032574176788,3.8453623822526164,3.8453623822526164,14.786811850843517
2018-11-24,3.229143399612182,0.025274937972426414,3.2038684616397557,3.2038684616397557,10.264773119489895
2018-12-09,2.44323046062303,0.008672555908560753,2.4345579047144694,2.4345579047144694,5.927072191407707
2018-12-24,1.688942387450076,0.02043098211288452,1.6685114053371914,1.6685114053371914,2.7839303097402897
2019-01-08,1.555471135884216,0.035249657928943634,1.5202214779552723,1.5202214779552723,2.3110733420365124
2019-01-23,1.4205044994288574,0.1238178014755249,1.2966866979533325,1.2966866979533325,1.6813963926491169
2019-02-07,1.4780662688048178,0.014045407064259052,1.4640208617405588,1.4640208617405588,2.1433570836115683
2019-02-22,1.2988668375141956,0.0713278129696846,1.227539024544511,1.227539024544511,1.5068520567796897
2019-03-09,1.1514877704868531,-0.02335142344236374,1.1748391939292169,1.1748391939292169,1.380247131592252
2019-03-24,1.3405435310008196,0.04455581679940224,1.2959877142014173,1.2959877142014173,1.6795841553610147
2019-04-08,1.126998384228791,0.09356942772865295,1.033428956500138,1.033428956500138,1.0679754081329642
2019-04-23,1.2609496929460355,0.18084777891635895,1.0801019140296766,1.0801019140296766,1.1666201446905708
2019-05-08,1.4424469990559652,0.19729603826999664,1.2451509607859685,1.2451509607859685,1.5504009151462206
2019-05-23,1.2082244422912911,0.05489981546998024,1.1533246268213109,1.1533246268213109,1.330157694832516
2019-06-07,1.366748942331818,-0.06550081819295883,1.4322497605247768,1.4322497605247768,2.0513393765232806
2019-06-22,1.3712352327685382,-0.13458700478076935,1.5058222375493076,1.5058222375493076,2.2675006110980034
2019-07-07,1.3995644669763165,0.12392473965883255,1.275639727317484,1.275639727317484,1.6272567139106249
2019-07-22,1.5084134050880331,-0.0179477259516716,1.5263611310397047,1.5263611310397047,2.3297783023488066
2019-08-06,1.8299348424906685,-0.0015716335037723184,1.8315064759944408,1.8315064759944408,3.3544159716095754
